,model,audio,liwc,value,personality,linguistic,topic,trial,score,task
209,MLPClassifier,False,True,False,False,True,False,4,0.7306131163190502,auto_tag
210,LogisticRegression,False,True,False,False,False,True,0,0.7338955371169067,auto_tag
211,LogisticRegression,False,True,False,False,False,True,1,0.7323275487030102,auto_tag
212,LogisticRegression,False,True,False,False,False,True,2,0.7349761427384012,auto_tag
213,LogisticRegression,False,True,False,False,False,True,3,0.7358538837814574,auto_tag
214,LogisticRegression,False,True,False,False,False,True,4,0.7340220894516243,auto_tag
215,NaiveBayes,False,True,False,False,False,True,0,0.5537328263529331,auto_tag
216,NaiveBayes,False,True,False,False,False,True,1,0.5416505798440236,auto_tag
217,NaiveBayes,False,True,False,False,False,True,2,0.528543932934392,auto_tag
218,NaiveBayes,False,True,False,False,False,True,3,0.5235525285545222,auto_tag
219,NaiveBayes,False,True,False,False,False,True,4,0.5233257106699649,auto_tag
220,MLPClassifier,False,True,False,False,False,True,0,0.739784630801851,auto_tag
221,MLPClassifier,False,True,False,False,False,True,1,0.7376294103868256,auto_tag
222,MLPClassifier,False,True,False,False,False,True,2,0.7397651145183044,auto_tag
223,MLPClassifier,False,True,False,False,False,True,3,0.7395032994577002,auto_tag
224,MLPClassifier,False,True,False,False,False,True,4,0.7393543347560996,auto_tag
225,LogisticRegression,False,False,True,True,False,False,0,0.728436642571679,auto_tag
226,LogisticRegression,False,False,True,True,False,False,1,0.7320227046984216,auto_tag
227,LogisticRegression,False,False,True,True,False,False,2,0.7313797980011296,auto_tag
228,LogisticRegression,False,False,True,True,False,False,3,0.7292819349753233,auto_tag
229,LogisticRegression,False,False,True,True,False,False,4,0.7297373365127454,auto_tag
230,NaiveBayes,False,False,True,True,False,False,0,0.6219784858282201,auto_tag
231,NaiveBayes,False,False,True,True,False,False,1,0.6147560376361769,auto_tag
232,NaiveBayes,False,False,True,True,False,False,2,0.6154952632936966,auto_tag
233,NaiveBayes,False,False,True,True,False,False,3,0.6126610733997345,auto_tag
234,NaiveBayes,False,False,True,True,False,False,4,0.6170594201335559,auto_tag
235,MLPClassifier,False,False,True,True,False,False,0,0.7357916309590019,auto_tag
236,MLPClassifier,False,False,True,True,False,False,1,0.7324590981235255,auto_tag
237,MLPClassifier,False,False,True,True,False,False,2,0.7346931525676919,auto_tag
238,MLPClassifier,False,False,True,True,False,False,3,0.732395095926512,auto_tag
239,MLPClassifier,False,False,True,True,False,False,4,0.7345566915938773,auto_tag
240,LogisticRegression,False,False,True,False,True,False,0,0.7340403563172646,auto_tag
241,LogisticRegression,False,False,True,False,True,False,1,0.7319708423330481,auto_tag
242,LogisticRegression,False,False,True,False,True,False,2,0.7336878002319037,auto_tag
243,LogisticRegression,False,False,True,False,True,False,3,0.7330340588766684,auto_tag
244,LogisticRegression,False,False,True,False,True,False,4,0.734163174506244,auto_tag
245,NaiveBayes,False,False,True,False,True,False,0,0.6322858135839887,auto_tag
246,NaiveBayes,False,False,True,False,True,False,1,0.6377675882265257,auto_tag
